# Constructed from biom file																																				
#OTU ID	HL1HFP1	HL1HFP2	HL1HFP3	HL1HFU1	HL1HFU2	HL1HFU3	HL2HFP1	HL2HFP2	HL2HFP3	HL2HFU1	HL2HFU2	HL2HFU3	HL3HFP1	HL3HFP2	HL3HFP3	HL3HFU1	HL3HFU2	HL3HFU3	SY1HFP1	SY1HFP2	SY1HFP3	SY1HFU1	SY1HFU2	SY1HFU3	SY2HFP1	SY2HFP2	SY2HFP3	SY2HFU1	SY2HFU2	SY2HFU3	SY3HFP1	SY3HFP2	SY3HFP3	SY3HFU1	SY3HFU2	SY3HFU3
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Cochliobolus	0	0	0	0	0	8.45E-06	0	0	0	0	0	0	0	0	0	0	0	0	4.69E-05	0	0	0	0	0	0	0.000125817	0	0	0.000212171	0	0	0	0	0	0.000602574	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Curvularia	0.000171204	0.000394095	0.000812601	0.000182224	0	0.00048174	0.000275539	0.001107591	0.000465622	0.000160784	0.000154546	9.21E-05	0.000204747	0.002872384	6.38E-05	0.001108587	6.54E-05	4.77E-05	0.000516038	0.001994547	0.002707712	9.92E-05	0.013592483	0.00596826	0.000240855	0.005661757	0.00298943	0.001073079	0.006191041	0.005301683	7.15E-05	0.024748552	0.001594684	0.012886598	0.009194106	0.007698683
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Dendryphion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Drechslera	0	0	0	5.52E-06	0.000109129	0	0	0	0.000155207	0	0.000132468	0	0	0	0	0	8.71E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Edenia	0	5.63E-06	2.30E-05	1.10E-05	0	8.45E-06	3.44E-05	1.19E-05	0	0	0	5.26E-06	4.39E-05	0	0.000828976	2.70E-05	0	0	1.76E-05	0	0	0.000120791	0.001913076	8.79E-06	5.87E-06	2.36E-05	6.46E-06	0	0.000473305	3.33E-06	3.57E-05	0	0	0	0.000388757	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Exserohilum	0	3.94E-05	0	5.52E-06	5.46E-05	0	0	1.19E-05	0	0	0	0	8.77E-05	0	0	0	0	0	1.76E-05	9.15E-05	2.53E-05	3.02E-05	0.000747546	0.000167006	9.40E-05	4.72E-05	0.000251809	0.000175197	0.000255693	0.000532832	1.79E-05	0	0	0	0.001457839	0.000382934
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Pleospora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Setosphaeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_family_Incertae_sedis;g__Letendraea	0	0	0	0	0	1.69E-05	0	0	0	0	0	0	0	0	0	0	0	0	7.62E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_family_Incertae_sedis;g__Paraphoma	0.00164154	0.000619293	0.001583884	0.000220877	0.000109129	0.000270451	0.001894331	0.001512517	0.000465622	0.002139659	0.000750651	6.31E-05	0.00070199	0.000410341	6.38E-05	0.000297426	0.000174284	0.000238402	0.000527766	0.000237882	5.43E-05	9.49E-05	0.000353678	0.000123057	0.000205608	0.000495404	9.68E-05	8.76E-05	0.000174089	9.66E-05	0.00015186	0.000182871	0	0	0.000155503	7.43E-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_family_Incertae_sedis;g__Periconia	0	0	4.59E-06	5.52E-06	0	0	8.04E-05	0	0	0	0	0	0	0	0	0	0	0	0.000281475	0	0	4.31E-06	0	0	0	0.000212316	0	0	0	0	0.000142927	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_family_Incertae_sedis;g__Phoma	0	0	0	1.66E-05	0	8.45E-06	1.15E-05	0	0	6.18E-06	2.21E-05	0	0	0	0.000637674	0.000162232	4.36E-05	0	0	0.000182986	0	2.59E-05	9.65E-05	4.39E-06	5.87E-06	0	0	0	7.62E-05	3.33E-06	0	0	0	0	3.89E-05	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_family_Incertae_sedis;g__Pyrenochaeta	3.02E-05	1.69E-05	0.000101001	0	0	0	1.15E-05	0	0	6.18E-06	0	5.26E-06	0	0	0	0	6.54E-05	0	1.76E-05	0	7.24E-06	0.000660035	0	0	1.17E-05	1.57E-05	6.46E-06	0.000832184	2.18E-05	0	0	6.10E-05	0.000332226	0	0	5.72E-06
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000701441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Westerdykella	5.04E-05	1.69E-05	0.001482883	4.97E-05	0.000109129	1.69E-05	9.18E-05	7.15E-05	0.000155207	1.24E-05	4.42E-05	1.32E-05	7.31E-05	0	6.38E-05	0	2.18E-05	0.000524484	0.002157978	0.001774964	0.007652544	1.29E-05	0.00021703	1.32E-05	0.001145529	0.002736516	0.002156522	2.19E-05	1.09E-05	6.66E-06	0.000937961	0.001280098	0.010166113	0	0	1.14E-05
